season,holiday,weekday,workingday,weathersit,temp,atemp,hum,cnt
1,0,6,0,2,0.344167,0.363625,0.805833,985
1,0,0,0,2,0.363478,0.353739,0.696087,801
1,0,1,1,1,0.196364,0.189405,0.437273,1349
1,0,2,1,1,0.2,0.212122,0.590435,1562
1,0,3,1,1,0.226957,0.22927,0.436957,1600
1,0,4,1,1,0.204348,0.233209,0.518261,1606
1,0,5,1,2,0.196522,0.208839,0.498696,1510
1,0,6,0,2,0.165,0.162254,0.535833,959
1,0,0,0,1,0.138333,0.116175,0.434167,822
1,0,1,1,1,0.150833,0.150888,0.482917,1321
1,0,2,1,2,0.169091,0.191464,0.686364,1263
1,0,3,1,1,0.172727,0.160473,0.599545,1162
1,0,4,1,1,0.165,0.150883,0.470417,1406
1,0,5,1,1,0.16087,0.188413,0.537826,1421
1,0,6,0,2,0.233333,0.248112,0.49875,1248
1,0,0,0,1,0.231667,0.234217,0.48375,1204
1,1,1,0,2,0.175833,0.176771,0.5375,1000
1,0,2,1,2,0.216667,0.232333,0.861667,683
1,0,3,1,2,0.292174,0.298422,0.741739,1650
1,0,4,1,2,0.261667,0.25505,0.538333,1927
1,0,5,1,1,0.1775,0.157833,0.457083,1543
1,0,6,0,1,0.0591304,0.0790696,0.4,981
1,0,0,0,1,0.0965217,0.0988391,0.436522,986
1,0,1,1,1,0.0973913,0.11793,0.491739,1416
1,0,2,1,2,0.223478,0.234526,0.616957,1985
1,0,3,1,3,0.2175,0.2036,0.8625,506
1,0,4,1,1,0.195,0.2197,0.6875,431
1,0,5,1,2,0.203478,0.223317,0.793043,1167
1,0,6,0,1,0.196522,0.212126,0.651739,1098
1,0,0,0,1,0.216522,0.250322,0.722174,1096
1,0,1,1,2,0.180833,0.18625,0.60375,1501
1,0,2,1,2,0.192174,0.23453,0.829565,1360
1,0,3,1,2,0.26,0.254417,0.775417,1526
1,0,4,1,1,0.186957,0.177878,0.437826,1550
1,0,5,1,2,0.211304,0.228587,0.585217,1708
1,0,6,0,2,0.233333,0.243058,0.929167,1005
1,0,0,0,1,0.285833,0.291671,0.568333,1623
1,0,1,1,1,0.271667,0.303658,0.738333,1712
1,0,2,1,1,0.220833,0.198246,0.537917,1530
1,0,3,1,2,0.134783,0.144283,0.494783,1605
1,0,4,1,1,0.144348,0.149548,0.437391,1538
1,0,5,1,1,0.189091,0.213509,0.506364,1746
1,0,6,0,1,0.2225,0.232954,0.544167,1472
1,0,0,0,1,0.316522,0.324113,0.457391,1589
1,0,1,1,1,0.415,0.39835,0.375833,1913
1,0,2,1,1,0.266087,0.254274,0.314348,1815
1,0,3,1,1,0.318261,0.3162,0.423478,2115
1,0,4,1,1,0.435833,0.428658,0.505,2475
1,0,5,1,1,0.521667,0.511983,0.516667,2927
1,0,6,0,1,0.399167,0.391404,0.187917,1635
1,0,0,0,1,0.285217,0.27733,0.407826,1812
1,1,1,0,2,0.303333,0.284075,0.605,1107
1,0,2,1,1,0.182222,0.186033,0.577778,1450
1,0,3,1,1,0.221739,0.245717,0.423043,1917
1,0,4,1,2,0.295652,0.289191,0.697391,1807
1,0,5,1,2,0.364348,0.350461,0.712174,1461
1,0,6,0,1,0.2825,0.282192,0.537917,1969
1,0,0,0,1,0.343478,0.351109,0.68,2402
1,0,1,1,2,0.407273,0.400118,0.876364,1446
1,0,2,1,1,0.266667,0.263879,0.535,1851
1,0,3,1,1,0.335,0.320071,0.449583,2134
1,0,4,1,1,0.198333,0.200133,0.318333,1685
1,0,5,1,2,0.261667,0.255679,0.610417,1944
1,0,6,0,2,0.384167,0.378779,0.789167,2077
1,0,0,0,2,0.376522,0.366252,0.948261,605
1,0,1,1,1,0.261739,0.238461,0.551304,1872
1,0,2,1,1,0.2925,0.3024,0.420833,2133
1,0,3,1,2,0.295833,0.286608,0.775417,1891
1,0,4,1,3,0.389091,0.385668,0,623
1,0,5,1,2,0.316522,0.305,0.649565,1977
1,0,6,0,1,0.329167,0.32575,0.594583,2132
1,0,0,0,1,0.384348,0.380091,0.527391,2417
1,0,1,1,1,0.325217,0.332,0.496957,2046
1,0,2,1,2,0.317391,0.318178,0.655652,2056
1,0,3,1,2,0.365217,0.36693,0.776522,2192
1,0,4,1,1,0.415,0.410333,0.602917,2744
1,0,5,1,1,0.54,0.527009,0.525217,3239
1,0,6,0,1,0.4725,0.466525,0.379167,3117
1,0,0,0,1,0.3325,0.32575,0.47375,2471
2,0,1,1,2,0.430435,0.409735,0.737391,2077
2,0,2,1,1,0.441667,0.440642,0.624583,2703
2,0,3,1,2,0.346957,0.337939,0.839565,2121
2,0,4,1,2,0.285,0.270833,0.805833,1865
2,0,5,1,1,0.264167,0.256312,0.495,2210
2,0,6,0,1,0.265833,0.257571,0.394167,2496
2,0,0,0,2,0.253043,0.250339,0.493913,1693
2,0,1,1,1,0.264348,0.257574,0.302174,2028
2,0,2,1,1,0.3025,0.292908,0.314167,2425
2,0,3,1,2,0.3,0.29735,0.646667,1536
2,0,4,1,3,0.268333,0.257575,0.918333,1685
2,0,5,1,2,0.3,0.283454,0.68625,2227
2,0,6,0,2,0.315,0.315637,0.65375,2252
2,0,0,0,1,0.378333,0.378767,0.48,3249
2,0,1,1,1,0.573333,0.542929,0.42625,3115
2,0,2,1,2,0.414167,0.39835,0.642083,1795
2,0,3,1,1,0.390833,0.387608,0.470833,2808
2,0,4,1,1,0.4375,0.433696,0.602917,3141
2,0,5,1,2,0.335833,0.324479,0.83625,1471
2,0,6,0,2,0.3425,0.341529,0.8775,2455
2,0,0,0,2,0.426667,0.426737,0.8575,2895
2,0,1,1,2,0.595652,0.565217,0.716956,3348
2,0,2,1,2,0.5025,0.493054,0.739167,2034
2,0,3,1,2,0.4125,0.417283,0.819167,2162
2,0,4,1,1,0.4675,0.462742,0.540417,3267
2,1,5,0,1,0.446667,0.441913,0.67125,3126
2,0,6,0,3,0.430833,0.425492,0.888333,795
2,0,0,0,1,0.456667,0.445696,0.479583,3744
2,0,1,1,1,0.5125,0.503146,0.5425,3429
2,0,2,1,2,0.505833,0.489258,0.665833,3204
2,0,3,1,1,0.595,0.564392,0.614167,3944
2,0,4,1,1,0.459167,0.453892,0.407083,4189
2,0,5,1,2,0.336667,0.321954,0.729583,1683
2,0,6,0,2,0.46,0.450121,0.887917,4036
2,0,0,0,2,0.581667,0.551763,0.810833,4191
2,0,1,1,1,0.606667,0.5745,0.776667,4073
2,0,2,1,1,0.631667,0.594083,0.729167,4400
2,0,3,1,2,0.62,0.575142,0.835417,3872
2,0,4,1,2,0.6175,0.578929,0.700833,4058
2,0,5,1,1,0.51,0.497463,0.457083,4595
2,0,6,0,1,0.4725,0.464021,0.503333,5312
2,0,0,0,2,0.451667,0.448204,0.762083,3351
2,0,1,1,2,0.549167,0.532833,0.73,4401
2,0,2,1,2,0.616667,0.582079,0.697083,4451
2,0,3,1,2,0.414167,0.40465,0.737083,2633
2,0,4,1,1,0.459167,0.441917,0.444167,4433
2,0,5,1,1,0.479167,0.474117,0.59,4608
2,0,6,0,1,0.52,0.512621,0.54125,4714
2,0,0,0,1,0.528333,0.518933,0.631667,4333
2,0,1,1,1,0.5325,0.525246,0.58875,4362
2,0,2,1,1,0.5325,0.522721,0.489167,4803
2,0,3,1,1,0.5425,0.5284,0.632917,4182
2,0,4,1,1,0.535,0.523363,0.7475,4864
2,0,5,1,2,0.5125,0.4943,0.863333,4105
2,0,6,0,2,0.520833,0.500629,0.9225,3409
2,0,0,0,2,0.5625,0.536,0.867083,4553
2,0,1,1,1,0.5775,0.550512,0.787917,3958
2,0,2,1,2,0.561667,0.538529,0.837917,4123
2,0,3,1,2,0.55,0.527158,0.87,3855
2,0,4,1,2,0.530833,0.510742,0.829583,4575
2,0,5,1,1,0.536667,0.529042,0.719583,4917
2,0,6,0,1,0.6025,0.571975,0.626667,5805
2,0,0,0,1,0.604167,0.5745,0.749583,4660
2,0,1,1,2,0.631667,0.590296,0.81,4274
2,0,2,1,2,0.66,0.604813,0.740833,4492
2,0,3,1,1,0.660833,0.615542,0.69625,4978
2,0,4,1,1,0.708333,0.654688,0.6775,4677
2,0,5,1,1,0.681667,0.637008,0.65375,4679
2,0,6,0,1,0.655833,0.612379,0.729583,4758
2,0,0,0,1,0.6675,0.61555,0.81875,4788
2,1,1,0,1,0.733333,0.671092,0.685,4098
2,0,2,1,1,0.775,0.725383,0.636667,3982
2,0,3,1,2,0.764167,0.720967,0.677083,3974
2,0,4,1,1,0.715,0.643942,0.305,4968
2,0,5,1,1,0.62,0.587133,0.354167,5312
2,0,6,0,1,0.635,0.594696,0.45625,5342
2,0,0,0,2,0.648333,0.616804,0.6525,4906
2,0,1,1,1,0.678333,0.621858,0.6,4548
2,0,2,1,1,0.7075,0.65595,0.597917,4833
2,0,3,1,1,0.775833,0.727279,0.622083,4401
2,0,4,1,2,0.808333,0.757579,0.568333,3915
2,0,5,1,1,0.755,0.703292,0.605,4586
2,0,6,0,1,0.725,0.678038,0.654583,4966
2,0,0,0,1,0.6925,0.643325,0.747917,4460
2,0,1,1,1,0.635,0.601654,0.494583,5020
2,0,2,1,1,0.604167,0.591546,0.507083,4891
2,0,3,1,1,0.626667,0.587754,0.471667,5180
2,0,4,1,2,0.628333,0.595346,0.688333,3767
2,0,5,1,1,0.649167,0.600383,0.735833,4844
2,0,6,0,1,0.696667,0.643954,0.670417,5119
2,0,0,0,2,0.699167,0.645846,0.666667,4744
2,0,1,1,2,0.635,0.595346,0.74625,4010
3,0,2,1,2,0.680833,0.637646,0.770417,4835
3,0,3,1,1,0.733333,0.693829,0.7075,4507
3,0,4,1,2,0.728333,0.693833,0.703333,4790
3,0,5,1,1,0.724167,0.656583,0.573333,4991
3,0,6,0,1,0.695,0.643313,0.483333,5202
3,0,0,0,1,0.68,0.637629,0.513333,5305
3,0,1,1,2,0.6825,0.637004,0.658333,4708
3,0,2,1,1,0.744167,0.692558,0.634167,4648
3,0,3,1,1,0.728333,0.654688,0.497917,5225
3,0,4,1,1,0.696667,0.637008,0.434167,5515
