y,x4,x5,x6,x7,x8,x9,x10,x4.x4,x4.x5,x4.x6,x4.x7,x4.x8,x4.x9,x4.x10,x5.x5,x5.x6,x5.x7,x5.x8,x5.x9,x5.x10,x6.x6,x6.x7,x6.x8,x6.x9,x6.x10,x7.x7,x7.x8,x7.x9,x7.x10,x8.x8,x8.x9,x8.x10,x9.x9,x9.x10,x10.x10
5,5760,3,51,54,1450,25,60,33177600,17280,293760,311040,8352000,144000,345600,9,153,162,4350,75,180,2601,2754,73950,1275,3060,2916,78300,1350,3240,2102500,36250,87000,625,1500,3600
6,5720,4,69,35,1568,15,60,32718400,22880,394680,200200,8968960,85800,343200,16,276,140,6272,60,240,4761,2415,108192,1035,4140,1225,54880,525,2100,2458624,23520,94080,225,900,3600
4,5790,6,19,45,2631,-33,100,33524100,34740,110010,260550,15233490,-191070,579000,36,114,270,15786,-198,600,361,855,49989,-627,1900,2025,118395,-1485,4500,6922161,-86823,263100,1089,-3300,10000
4,5790,3,25,55,554,-28,250,33524100,17370,144750,318450,3207660,-162120,1447500,9,75,165,1662,-84,750,625,1375,13850,-700,6250,3025,30470,-1540,13750,306916,-15512,138500,784,-7000,62500
6,5720,3,44,51,111,9,150,32718400,17160,251680,291720,634920,51480,858000,9,132,153,333,27,450,1936,2244,4884,396,6600,2601,5661,459,7650,12321,999,16650,81,1350,22500
5,5760,6,33,51,492,-44,40,33177600,34560,190080,293760,2833920,-253440,230400,36,198,306,2952,-264,240,1089,1683,16236,-1452,1320,2601,25092,-2244,2040,242064,-21648,19680,1936,-1760,1600
4,5780,6,19,54,5000,-44,200,33408400,34680,109820,312120,28900000,-254320,1156000,36,114,324,30000,-264,1200,361,1026,95000,-836,3800,2916,270000,-2376,10800,2.50E+07,-220000,1.00E+06,1936,-8800,40000
4,5830,3,19,58,1249,-53,250,33988900,17490,110770,338140,7281670,-308990,1457500,9,57,174,3747,-159,750,361,1102,23731,-1007,4750,3364,72442,-3074,14500,1560001,-66197,312250,2809,-13250,62500
7,5870,2,19,61,5000,-67,200,34456900,11740,111530,358070,29350000,-393290,1174000,4,38,122,10000,-134,400,361,1159,95000,-1273,3800,3721,305000,-4087,12200,2.50E+07,-335000,1.00E+06,4489,-13400,40000
4,5680,5,73,52,393,-68,10,32262400,28400,414640,295360,2232240,-386240,56800,25,365,260,1965,-340,50,5329,3796,28689,-4964,730,2704,20436,-3536,520,154449,-26724,3930,4624,-680,100
4,5730,4,26,58,5000,-26,200,32832900,22920,148980,332340,28650000,-148980,1146000,16,104,232,20000,-104,800,676,1508,130000,-676,5200,3364,290000,-1508,11600,2.50E+07,-130000,1.00E+06,676,-5200,40000
5,5700,5,59,69,3044,18,150,32490000,28500,336300,393300,17350800,102600,855000,25,295,345,15220,90,750,3481,4071,179596,1062,8850,4761,210036,1242,10350,9265936,54792,456600,324,2700,22500
6,5820,5,19,59,597,-52,70,33872400,29100,110580,343380,3474540,-302640,407400,25,95,295,2985,-260,350,361,1121,11343,-988,1330,3481,35223,-3068,4130,356409,-31044,41790,2704,-3640,4900
6,5810,5,19,64,1791,-15,150,33756100,29050,110390,371840,10405710,-87150,871500,25,95,320,8955,-75,750,361,1216,34029,-285,2850,4096,114624,-960,9600,3207681,-26865,268650,225,-2250,22500
11,5790,3,28,63,793,-15,120,33524100,17370,162120,364770,4591470,-86850,694800,9,84,189,2379,-45,360,784,1764,22204,-420,3360,3969,49959,-945,7560,628849,-11895,95160,225,-1800,14400
12,5770,8,76,63,816,-7,6,33292900,46160,438520,363510,4708320,-40390,34620,64,608,504,6528,-56,48,5776,4788,62016,-532,456,3969,51408,-441,378,665856,-5712,4896,49,-42,36
9,5670,3,69,54,3651,62,30,32148900,17010,391230,306180,20701170,351540,170100,9,207,162,10953,186,90,4761,3726,251919,4278,2070,2916,197154,3348,1620,13329801,226362,109530,3844,1860,900
2,5590,3,76,36,5000,70,100,31248100,16770,424840,201240,27950000,391300,559000,9,228,108,15000,210,300,5776,2736,380000,5320,7600,1296,180000,2520,3600,2.50E+07,350000,5.00E+05,4900,7000,10000
3,5410,6,64,31,5000,28,200,29268100,32460,346240,167710,27050000,151480,1082000,36,384,186,30000,168,1200,4096,1984,320000,1792,12800,961,155000,868,6200,2.50E+07,140000,1.00E+06,784,5600,40000
3,5350,7,62,30,1341,18,60,28622500,37450,331700,160500,7174350,96300,321000,49,434,210,9387,126,420,3844,1860,83142,1116,3720,900,40230,540,1800,1798281,24138,80460,324,1080,3600
4,5560,10,72,41,5000,-1,300,30913600,55600,400320,227960,27800000,-5560,1668000,100,720,410,50000,-10,3000,5184,2952,360000,-72,21600,1681,205000,-41,12300,2.50E+07,-5000,1500000,1,-300,90000
8,5680,5,50,51,5000,-8,300,32262400,28400,284000,289680,28400000,-45440,1704000,25,250,255,25000,-40,1500,2500,2550,250000,-400,15000,2601,255000,-408,15300,2.50E+07,-40000,1500000,64,-2400,90000
6,5700,4,86,55,2398,21,200,32490000,22800,490200,313500,13668600,119700,1140000,16,344,220,9592,84,800,7396,4730,206228,1806,17200,3025,131890,1155,11000,5750404,50358,479600,441,4200,40000
11,5770,5,68,45,2778,2,200,33292900,28850,392360,259650,16029060,11540,1154000,25,340,225,13890,10,1000,4624,3060,188904,136,13600,2025,125010,90,9000,7717284,5556,555600,4,400,40000
13,5770,3,82,55,442,26,40,33292900,17310,473140,317350,2550340,150020,230800,9,246,165,1326,78,120,6724,4510,36244,2132,3280,3025,24310,1430,2200,195364,11492,17680,676,1040,1600
6,5690,8,21,41,5000,-30,300,32376100,45520,119490,233290,28450000,-170700,1707000,64,168,328,40000,-240,2400,441,861,105000,-630,6300,1681,205000,-1230,12300,2.50E+07,-150000,1500000,900,-9000,90000
4,5690,7,19,53,5000,7,300,32376100,39830,108110,301570,28450000,39830,1707000,49,133,371,35000,49,2100,361,1007,95000,133,5700,2809,265000,371,15900,2.50E+07,35000,1500000,49,2100,90000
6,5640,5,68,50,5000,24,300,31809600,28200,383520,282000,28200000,135360,1692000,25,340,250,25000,120,1500,4624,3400,340000,1632,20400,2500,250000,1200,15000,2.50E+07,120000,1500000,576,7200,90000
10,5720,6,63,60,1341,19,150,32718400,34320,360360,343200,7670520,108680,858000,36,378,360,8046,114,900,3969,3780,84483,1197,9450,3600,80460,1140,9000,1798281,25479,201150,361,2850,22500
23,5740,3,47,53,885,-4,80,32947600,17220,269780,304220,5079900,-22960,459200,9,141,159,2655,-12,240,2209,2491,41595,-188,3760,2809,46905,-212,4240,783225,-3540,70800,16,-320,6400
2,5550,10,74,40,5000,73,80,30802500,55500,410700,222000,27750000,405150,444000,100,740,400,50000,730,800,5476,2960,370000,5402,5920,1600,2.00E+05,2920,3200,2.50E+07,365000,4.00E+05,5329,5840,6400
