Year,Hijacking ,Fatal 
1946,0,60
1947,0,72
1948,7,80
1949,7,70
1950,4,55
1951,1,60
1952,4,51
1953,0,61
1954,2,46
1955,0,55
1956,2,44
1957,0,53
1958,8,61
1959,6,60
1960,8,61
1961,10,50
1962,1,57
1963,1,47
1964,0,43
1965,5,48
1966,4,48
1967,5,50
1968,29,53
1969,86,66
1970,77,60
1971,54,46
1972,59,64
1973,22,60
1974,20,58
1975,19,43
1976,16,51
1977,32,51
1978,26,41
1979,23,55
1980,37,33
1981,31,37
1982,31,31
1983,35,32
1984,27,30
1985,26,39
1986,16,37
1987,12,43
1988,15,54
1989,15,54
1990,38,43
1991,20,49
1992,11,48
1993,36,45
1994,27,49
1995,12,48
1996,17,49
1997,12,37
1998,14,47
1999,13,43
2000,27,37
2001,11,36
2002,10,33
2003,9,24
2004,4,32
2005,1,34
2006,3,24
2007,6,29
2008,3,26
2009,5,23
2010,1,27
2011,1,32
2012,3,18
2013,1,23
2014,3,18
2015,0,10
2016,2,16
2017,0,10
