River                        species area     sAC     sAP     sSV     sSL    nitrate  solres  hy   logarea
Penobscot                       9    8440      33      28      21       4    0.80      57    4.00  9.0407
Kennebec                        8    5960      32      27      20       5    0.40      31    3.20  8.6928
Androscoggin                    7    3510      31      26      19       6    0.60      65    2.50  8.1634
Saco                            6    1730      30      25      18       7    0.80      33    2.50  7.4559
Merrimac                       11    5020      29      24      17       8    2.60      78    6.30  8.5212
Blackstone                      8     425      26      21      14      11    8.40     120   20.00  6.0521
Thames                          7    1480      25      20      13      12    3.50      86    3.20  7.2998
Connecticut                    11   11500      24      19      12      13    1.30      75    2.50  9.3501
Housatonic                     11    2050      23      18      11      14    2.10     138    1.00  7.6256
Hudson                         14   13500      22      17      10      15    0.80     101    0.63  9.5104
Delaware                       13   11100      21      16       9      16    8.70     122    3.20  9.3147
Susquehanna                    11   27900      24      21      12      21    3.40     164    1.30 10.2364
Potomac                        14   14400      23      20      11      20    3.70     156    0.50  9.5750
Rappahannock                    9    2560      22      19      10      19    1.10      47    2.00  7.8478
York                            7    2790      21      18       9      18    0.70      59    2.00  7.9338
James                          12    9850      20      17       8      17    1.20     102    1.60  9.1952
Chowan                          9    4870      19      16       7      18    1.20      99    1.60  8.4908
Roanoke                        10    9680      19      16       7      18    4.10      85    1.30  9.1778
Pamlico                        12    4150      18      15       6      19    1.80      82    1.00  8.3309
Neuse                          15    5490      17      14       5      20    2.60      76    1.60  8.6107
Cape_Fear                      20    9000      16      13       4      21    1.30      78    2.00  9.1050
Waccamaw                       10    2100      15      12       3      22    0.70      30   10.00  7.6497
Pee_Dee                        13   14400      15      12       3      22    0.50      57    3.20  9.5750
Cooper-Santee                  21   17300      16      11       2      23    0.50      57    3.20  9.7585
Edisto                          8    3440      13      10       1      24    0.80      53    1.60  8.1432
Savannah                       21   10800      12       9       0      25    0.60      49    5.00  9.2873
Ogeechee                       12    4360      11       8       1      26    0.10      55    1.60  8.3802
Altamaha                        8   14700      10       7       2      27    0.60      45    1.00  9.5956
Satilla                         2    3720       9       6       3      28    0.20      29   32.00  8.2215
St._Marys                       4    1870       8       5       4      29    0.50      64   20.00  7.5337
St._Johns                      10    8800       7       4       5      30    0.90     391    1.00  9.0825
Kissimmee                       7    3190       7       4       5      30    0.90      88    1.30  8.0678
Peace                           9    2260       7       4       5      30    0.80     257    0.50  7.7231
Myakka                          6     657       7       4       5      30    0.20     105    1.60  6.4877
Alafia                          3     521       7       4       5      30    1.60     520    3.20  6.2558
Hillsborough                    8     719       7       4       5      30    0.60     171    0.40  6.5779
Withlacoochee                   9    2120       7       4       5      30    0.30     229    0.20  7.6592
Waccasassa                      2     349       6       3       6      31    1.00     461    0.25  5.8551
Suwannee                       13   10100       5       2       7      32    1.00     133    0.40  9.2203
Ochlockonee                    20    3010       4       1       8      33    0.80      81    1.60  8.0097
Appalachicola                  33   19700       3       0       9      34    0.70      55    1.60  9.8884
Choctawhatchee                 18    4770       2       1      10      35    1.10      57    1.00  8.4701
Yellow                         11    1380       1       2      10      36    0.20      44    3.20  7.2298
Escambia                       23    4270       1       2      11      36    0.10      61    2.00  8.3594
